District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
725,74,10.9562,106.7418,1820000000,26.962963,67.5,1,4.5,,1.0,25975
712,72,11.015406,106.408615,435000000,1.5535715,280.0,1,7.0,40.0,1.0,25732
751,77,10.582884,107.55609,26000000000,12.590799,2065.0,1,,,1.0,26656
309,31,20.760317,106.71132,3397000000,8.6,395.0,1,,,1.0,11707
783,79,11.131403,106.47935,15000000000,7.4887667,2003.0,1,26.0,77.0,1.0,27499
731,75,10.883124,106.87094,1495000000,11.5,130.0,1,5.0,27.0,1.0,26371
783,79,10.941103,106.64586,5300000000,38.129498,139.0,1,7.0,20.0,1.0,27550
777,79,10.7761,106.6109,4500000000,51.136364,88.0,1,4.0,22.0,1.0,27448
490,48,16.119226,108.11437,1070000000,11.888889,90.0,1,4.5,20.0,1.0,20194
712,72,11.034649,106.35521,390000000,1.3043479,299.0,1,6.0,50.0,1.0,25708
497,48,16.084671,108.10237,2000000000,20.0,100.0,1,5.0,20.0,1.0,20296
784,79,10.886394,106.59229,5400000000,24.770641,218.0,1,10.0,22.0,1.0,27559
778,79,10.701738,106.72861,8500000000,94.44444,90.0,2,5.0,18.0,1.0,27493
918,92,10.062848,105.717514,2289000000,36.333332,63.0,2,4.5,14.0,2.0,31180
672,68,11.921206,108.43708,8600000000,41.747574,206.0,1,11.0,19.0,1.0,24802
765,79,10.824318,106.70339,9179000000,114.7375,80.0,1,4.0,20.0,2.0,26905
777,79,10.802689,106.60261,4499000000,80.33929,56.0,1,4.0,14.0,1.0,27436
276,1,20.990559,105.567955,2360000000,28.992628,81.4,1,5.67,14.3999,1.0,10012
731,75,10.891147,106.89037,1580000000,11.791045,134.0,1,5.0,26.0,1.0,26371
784,79,10.897606,106.61145,5150000000,25.245098,204.0,1,9.0,26.0,1.0,27574
815,82,10.3807,106.3552,650000000,5.4166665,120.0,1,4.0,30.0,1.0,28282
783,79,10.9589,106.5155,2350000000,20.434782,115.0,1,5.0,23.0,1.0,27556
786,79,10.7024,106.7379,3600000000,72.0,50.0,1,8.0,6.5,1.0,27643
783,79,11.010381,106.432014,580000000,1.45,400.0,1,10.0,40.0,1.0,27526
737,75,10.9464,107.0113,1950000000,16.25,120.0,1,5.0,22.0,1.0,26284
737,75,10.912027,106.98604,930000000,6.7391305,138.0,1,5.0,27.0,1.0,26293
737,75,10.9662075,107.015976,880000000,4.756757,185.0,1,5.1999,35.0,1.0,26263
783,79,11.011451,106.42881,6700000000,6.7,1000.0,1,20.0,50.0,1.0,27526
737,75,11.0077,107.0484,4500000000,2.5817556,1743.0,1,30.0,55.0,1.0,26254
783,79,11.004886,106.58931,2600000000,9.285714,280.0,1,,,2.0,27523
695,70,11.62533,107.03105,260000000,0.25870648,1005.0,4,14.0,61.0,1.0,25369
697,70,11.482726,106.61734,470000000,1.88,250.0,1,5.0,50.0,1.0,25441
737,75,11.0358,107.0598,695000000,3.994253,174.0,1,5.0,35.0,1.0,26254
783,79,10.926058,106.63318,12500000000,8.585165,1456.0,1,16.0,88.0,1.0,27550
783,79,11.086731,106.47324,38000000000,4.216179,9012.9,1,70.0,,1.0,27508
783,79,10.93994,106.635025,2350000000,29.375,80.0,1,5.0,17.0,1.0,27550
783,79,10.9228,106.6027,1500000000,18.75,80.0,1,,,1.0,27550
783,79,10.9246,106.6232,2550000000,28.651686,89.0,1,,,1.0,27550
